Date,Hour,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
11/1/2023,12:00:00,1,4.01,3.41,4.88,-1.66,-3.81,0.27,2.15,-2.41,3.88,-0.6,-4.18,3.26,139.56,89.97,278.78,-8.76,-84.2,60.24,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/1/2023,18:00:00,1,3.23,2.55,3.8,-0.77,-2.84,1.71,2.3,-1.04,3.32,-0.99,-3.61,2.65,111.1,43.97,267.81,-18.73,-79.37,56.06,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/2/2023,0:00:00,1,3.45,2.22,4.3,-1.87,-3.94,1.02,2.05,-1.32,3.31,-0.5,-3.05,3.56,133.69,66.91,286.61,-8.17,-53.81,76.54,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/2/2023,6:00:00,1,2.98,2.1,3.44,-1.05,-2.67,2.13,2.27,-1.83,3.08,-0.66,-2.37,2.34,117.62,28.94,215.18,-13.07,-63.3,56.21,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/2/2023,12:00:00,1,3.37,2.98,3.7,-2.68,-3.49,-1.05,0.5,-3.2,2.68,-1.07,-3.06,1.12,167.91,116.25,248.82,-18.48,-64.95,20.59,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/2/2023,18:00:00,1,3.5,3.25,3.66,-3.05,-3.54,-1.62,1.15,-1.64,2.24,-0.75,-2.76,1.58,163.52,122.66,208.42,-12.69,-52.06,28.06,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/3/2023,0:00:00,1,3.22,2.62,3.54,-3.01,-3.46,-0.7,0.65,-1.18,1.89,0.24,-2.96,2.32,164.08,119.48,203.3,3.98,-73.04,50.88,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/3/2023,6:00:00,1,3.17,2.87,3.39,-2.4,-3.22,0.36,1.12,-0.68,2.42,-1.35,-2.88,1.98,152.62,74.03,190.97,-25.75,-75.57,38.28,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/3/2023,12:00:00,1,3.45,2.88,4.15,-2.14,-4.02,1.2,1.46,-2.64,3.06,1.95,-0.17,3.03,145.62,36.84,229.7,33.09,-3.22,67.73,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
11/3/2023,18:00:00,1,3.43,2.89,3.96,-3.31,-3.85,-1.01,-0.15,-1.44,2.44,-0.12,-2.59,1.72,177.12,116.36,204.32,-2.02,-54.87,26.49,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
